ServiceDate,Route,RouteName,CurrentRevenue,Ridership,TokenCount,TicketCount,PassCount,BillCount,UnclassifiedRevenue,DumpCount
1/4/2018,6,6-US 281 Express,48.54,247,0,0,153,31,2.25,10
1/4/2018,8,8-N.ST.MARYS,470.98,1072,0,0,629,268,45.01,105
1/4/2018,9,9-BROADWAY,281.56,901,0,0,566,169,10.59,67
1/4/2018,10,10-NACO/BROADWAY /NACO PASS        ,359.19,1046,0,0,634,209,15.06,93
1/4/2018,11,11 VIVA Culture,158.06,304,0,0,134,82,14.38,24
1/4/2018,14,14 Perrin Beitel ,761.43,2019,0,0,1265,453,39.83,175
1/4/2018,17,17-IH 35 Express,149.92,861,0,0,540,85,7.26,23
1/4/2018,20,20-NEW BRAUNFELS,1000.22,2924,1,0,1819,527,70.39,290
1/4/2018,21,21 KIRBY / CONVERSE,582.8,1220,0,0,657,341,26.38,113
1/4/2018,22,22-HAYS                             ,245.63,842,0,0,555,156,9.77,55
1/4/2018,24,24-E.HOUSTON,381.56,1143,1,0,665,222,20.41,87
1/4/2018,25,25-EAST COMMERCE,515.99,1243,0,0,666,304,21.91,123
1/4/2018,26,26-M.L. KING,388.72,1115,0,0,697,210,17.12,98
1/4/2018,28,28-PORTER,541.08,1317,0,0,658,306,21.67,120
1/4/2018,30,30-RIGSBY,410.83,947,0,0,514,230,21.2,106
1/4/2018,32,32-STEVES AVE.                      ,343.57,831,0,0,426,186,14.87,86
1/4/2018,34,34-S. ST.MARYS                      ,709.68,1795,0,0,992,364,88.01,222
1/4/2018,36,36-S. PRESA ST.,303.55,636,1,0,338,169,13.32,80
1/4/2018,40,40-VIVA Mission,31.75,113,0,0,67,12,0.75,4
1/4/2018,42,42-ROOSEVELT,372.27,1001,0,0,562,215,12.6,80
1/4/2018,43,43-S. FLORES,391.09,879,0,0,474,194,15.42,84
1/4/2018,44,44-PLEASANTON RD.,421.65,1076,0,0,601,223,21.34,105
1/4/2018,46,46-COMMERCIAL,211.71,409,0,0,205,111,7.61,47
1/4/2018,48,48 IH-35 S EXPRESS,24.75,25,0,0,8,14,0.5,2
1/4/2018,51,51-NOGALITOS                        ,385.33,1037,2,0,621,232,17.72,107
1/4/2018,54,54-SOUTH ALAMO                      ,60.11,190,0,0,98,34,1.65,17
1/4/2018,62,62-KIRK                             ,257.49,504,1,0,264,131,11.18,51
1/4/2018,64,64-KLAC/SEA WORLD/N.W. VISTA  EXPRESS  ,188.54,710,0,0,478,114,9.3,22
1/4/2018,66,66-CERALVO,371.26,920,0,0,539,203,29.3,107
1/4/2018,67,67-LAREDO,215.79,484,0,0,253,110,30.19,80
1/4/2018,68,68-GUADALUPE,669.44,2090,0,0,1264,399,34.09,205
1/4/2018,70,70   CESAR CHAVEZ,62.4,272,0,0,175,35,6.47,21
1/4/2018,75,75-WEST COMMERCE,652.4,2189,0,0,1273,358,33.19,190
1/4/2018,76,76-OLD HWY. 90 W.,627.09,1739,0,0,1099,329,32.07,174
1/4/2018,77,77-MARTIN ST.,258.99,641,0,0,355,135,16.28,63
1/4/2018,79,79-RUIZ                             ,470.24,1193,0,0,697,255,17.99,103
1/4/2018,82,82-CULEBRA,683.55,1775,1,0,1086,375,35.85,185
1/4/2018,88,88-BANDERA                          ,529.63,1348,0,0,809,292,26.94,142
1/4/2018,89,89-W.POPLAR                         ,295.56,938,0,0,390,149,8.42,64
1/4/2018,90,90-WOODLAWN                         ,284.66,805,0,0,466,156,14.31,93
1/4/2018,93,93-IH 10 Crossroads/UTSA Express,40.77,269,0,0,156,21,4.7,6
1/4/2018,94,94-IH 10/ FIESTA TEXAS/EXPRESS          ,102.6,414,0,0,197,54,4.65,15
1/4/2018,95,95-Fredericksburg Rd.,213.73,838,0,0,549,110,15.89,59
1/4/2018,96,96 - Vance Jackson,622.74,1882,0,0,929,347,29.95,167
1/4/2018,97,97-WEST AVENUE,529.71,1537,0,0,913,306,20.51,116
1/4/2018,100,100 - PRIMO FREDRICKSBURG RD.,781.2,3649,0,0,2421,441,40.92,207
